Font:   Style: 
Point Size: 0   Padding: 5   SP/PD Ratio: Infinity

Characters included: 3513/15893
Missing characters: 372
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 9	Hex: 9	Char [	]
ID: 260	Hex: 104	Char [Ą]
ID: 261	Hex: 105	Char [ą]
ID: 262	Hex: 106	Char [Ć]
ID: 263	Hex: 107	Char [ć]
ID: 264	Hex: 108	Char [Ĉ]
ID: 265	Hex: 109	Char [ĉ]
ID: 266	Hex: 10A	Char [Ċ]
ID: 267	Hex: 10B	Char [ċ]
ID: 268	Hex: 10C	Char [Č]
ID: 269	Hex: 10D	Char [č]
ID: 270	Hex: 10E	Char [Ď]
ID: 271	Hex: 10F	Char [ď]
ID: 278	Hex: 116	Char [Ė]
ID: 279	Hex: 117	Char [ė]
ID: 280	Hex: 118	Char [Ę]
ID: 281	Hex: 119	Char [ę]
ID: 284	Hex: 11C	Char [Ĝ]
ID: 285	Hex: 11D	Char [ĝ]
ID: 286	Hex: 11E	Char [Ğ]
ID: 287	Hex: 11F	Char [ğ]
ID: 288	Hex: 120	Char [Ġ]
ID: 289	Hex: 121	Char [ġ]
ID: 290	Hex: 122	Char [Ģ]
ID: 292	Hex: 124	Char [Ĥ]
ID: 293	Hex: 125	Char [ĥ]
ID: 294	Hex: 126	Char [Ħ]
ID: 295	Hex: 127	Char [ħ]
ID: 302	Hex: 12E	Char [Į]
ID: 303	Hex: 12F	Char [į]
ID: 304	Hex: 130	Char [İ]
ID: 305	Hex: 131	Char [ı]
ID: 306	Hex: 132	Char [Ĳ]
ID: 307	Hex: 133	Char [ĳ]
ID: 308	Hex: 134	Char [Ĵ]
ID: 309	Hex: 135	Char [ĵ]
ID: 310	Hex: 136	Char [Ķ]
ID: 311	Hex: 137	Char [ķ]
ID: 312	Hex: 138	Char [ĸ]
ID: 313	Hex: 139	Char [Ĺ]
ID: 314	Hex: 13A	Char [ĺ]
ID: 315	Hex: 13B	Char [Ļ]
ID: 316	Hex: 13C	Char [ļ]
ID: 317	Hex: 13D	Char [Ľ]
ID: 318	Hex: 13E	Char [ľ]
ID: 319	Hex: 13F	Char [Ŀ]
ID: 320	Hex: 140	Char [ŀ]
ID: 321	Hex: 141	Char [Ł]
ID: 322	Hex: 142	Char [ł]
ID: 325	Hex: 145	Char [Ņ]
ID: 326	Hex: 146	Char [ņ]
ID: 329	Hex: 149	Char [ŉ]
ID: 330	Hex: 14A	Char [Ŋ]
ID: 331	Hex: 14B	Char [ŋ]
ID: 336	Hex: 150	Char [Ő]
ID: 337	Hex: 151	Char [ő]
ID: 340	Hex: 154	Char [Ŕ]
ID: 341	Hex: 155	Char [ŕ]
ID: 342	Hex: 156	Char [Ŗ]
ID: 343	Hex: 157	Char [ŗ]
